,SJHBBBM4X52,SJHBBBM4JQZ,SJHBBBM5SGJ,SJHBBBM5TXY,SJHBBBM2GV5,SJHBBBM39BT,SJHBBBM67H6,SJHBBBM2BBR,SJHBBBN9RBJ,SJHBBBM4PX3,SJHBBBN9RDM,SJHBBBN9R9H,SJHBBBM588V,SJHBBBN9RFN,SJHBBBM55F5,SJHBBBM5GW9,SJHBBBM5PY5,SJHBBBM52XR,SJHBBBM5YWS
ENSG00000186092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187634,3,0,0,6,9,1,24,2,24,2,3,2,3,5,11,0,7,3,1
ENSG00000188976,3785,3524,3861,2710,11324,4393,4119,8499,3053,2708,1970,3239,1506,3098,2188,4012,1707,5557,2273
ENSG00000187961,756,495,193,898,2269,883,934,1311,514,412,336,542,238,329,188,871,196,1225,400
ENSG00000187583,13,7,11,8,2,4,3,6,8,3,8,4,0,9,1,5,1,11,2
ENSG00000187642,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188290,14,2,3,3,5,8,7,0,6,1,3,17,2,27,1,10,2,4,34
ENSG00000187608,950,1338,3391,1884,4458,806,632,829,1231,624,386,1839,100,680,194,632,179,2975,454
ENSG00000188157,2160,825,2057,6019,6371,2180,1551,718,993,433,1243,1205,244,913,161,711,296,1671,1088
ENSG00000237330,1,1,0,4,0,0,19,0,0,0,1,2,1,1,0,0,2,5,1
ENSG00000131591,1045,1387,1025,1931,1971,1410,2088,2062,904,498,679,1073,331,608,471,983,697,1285,533
ENSG00000162571,3,0,0,2,0,1,1,4,0,1,3,1,0,1,0,3,0,2,0
ENSG00000186891,99,31,12,35,24,11,108,23,69,5,22,48,14,24,12,138,5,91,15
ENSG00000186827,111,37,18,35,37,17,95,21,42,12,27,14,7,30,1,67,10,53,67
ENSG00000078808,4768,4216,4123,3034,11563,4870,4947,6965,2395,2382,2339,2856,1378,2375,1738,4809,1660,4012,1772
ENSG00000176022,851,1141,931,464,2745,1099,883,1743,185,647,205,299,302,355,479,1098,251,467,134
ENSG00000184163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000160087,2717,2709,2307,1613,7452,2952,2114,4467,599,1327,695,950,739,1047,890,2505,550,1607,382
ENSG00000162572,1618,1185,1071,3169,2361,1652,3232,2561,2146,1068,1341,1582,909,1134,513,1165,892,1981,481
ENSG00000131584,4773,4477,3188,5612,9084,5588,13693,11346,5794,3578,5586,7371,2616,4621,2835,6439,4002,10480,2852
ENSG00000169972,230,176,246,126,566,270,217,422,137,171,62,163,84,172,119,304,79,353,243
ENSG00000127054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224051,685,753,763,477,2058,876,363,1115,113,353,232,232,128,259,291,740,117,280,74
ENSG00000169962,409,280,287,591,544,401,236,306,140,108,180,125,40,92,55,179,102,154,21
ENSG00000107404,1518,1503,1087,1529,3856,1656,3579,4287,1847,831,1310,2065,905,1191,890,1377,889,3026,1391
ENSG00000162576,5,9,7,24,14,6,12,1,4,0,8,8,0,13,0,14,10,496,169
ENSG00000175756,1686,1414,1407,1484,4537,1991,1815,3212,1223,1299,869,1537,608,1293,810,1784,745,2456,1077
ENSG00000221978,13545,21921,19185,17531,31484,17977,17702,19290,7891,4894,10884,10734,4130,8332,4545,10045,6993,20358,9177
ENSG00000242485,1958,1825,2350,1198,4606,2428,1483,3215,889,1145,814,943,369,917,793,1783,486,2151,885
ENSG00000235098,1,1,0,1,0,0,5,1,3,0,0,0,2,3,0,1,0,6,1
ENSG00000205116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000179403,3,8,0,3,2,9,24,8,34,0,9,6,8,16,22,0,0,37,9
ENSG00000215915,7,7,3,2,14,1,7,4,4,1,4,4,4,5,0,9,4,6,3
ENSG00000160072,3013,3052,2870,3139,7904,3427,5199,5475,3132,1697,3019,3070,1078,1790,1183,2806,1723,4829,4200
ENSG00000197785,1309,1023,1173,1119,4060,1429,1559,3144,927,981,621,1246,489,844,669,1295,606,1967,776
ENSG00000205090,27,26,16,45,39,60,156,128,20,9,57,60,32,4,33,44,30,12,3
ENSG00000160075,4067,4135,3875,4182,10380,5085,4304,7356,2261,2544,2741,2921,1343,2167,1707,3841,1726,4233,1942
ENSG00000228594,76,18,44,14,57,47,31,31,25,2,16,16,11,20,0,27,8,56,3
ENSG00000197530,5055,3468,3152,4871,14497,5014,6220,7522,3228,2295,3540,3544,1908,2286,1512,4189,2298,4123,1382
ENSG00000189409,32,13,19,8,77,15,40,43,15,13,10,5,6,19,4,24,8,15,0
ENSG00000248333,2155,1876,1818,3002,4587,2062,5479,3770,2577,1265,3471,2855,840,1780,881,2222,1969,4501,3150
ENSG00000189339,10267,14781,9541,7379,32003,15199,7625,25080,2547,6013,4224,4909,1781,4244,3487,11861,3807,3560,1304
ENSG00000008128,239,293,275,344,374,165,614,214,268,65,286,250,84,182,30,111,216,456,294
ENSG00000008130,5011,4831,5172,3164,10832,5153,3782,7555,1682,2638,2594,2598,1207,1780,1764,4226,1720,4196,2514
ENSG00000078369,23350,35140,20783,20910,57903,34034,29377,44134,12827,15020,11235,17727,8937,9641,10882,22866,10359,18381,8236
ENSG00000169885,183,115,31,245,193,136,114,86,41,26,65,27,80,18,18,103,38,111,8
ENSG00000178821,53,192,3,304,213,40,64,10,6,6,14,23,342,9,2,66,9,54,39
ENSG00000142609,276,1167,4,1919,1404,136,2,8,0,0,4,0,2228,4,0,221,0,1,2
ENSG00000187730,0,196,6,4,45,61,0,177,140,0,68,17,105,27,0,99,23,12,2
ENSG00000067606,2307,189,845,98,1330,361,88,958,302,24,960,107,298,158,9,332,315,50,16
ENSG00000162585,1968,1681,1820,1950,5330,1930,3557,3311,1024,1218,1721,1835,797,1063,812,2023,927,2734,2175
ENSG00000157933,2315,1298,2077,4243,4289,772,15241,2356,2782,621,7543,9229,4017,4140,1003,2985,2752,3615,7906
ENSG00000116151,772,440,1037,646,2094,610,559,616,285,285,289,220,177,191,146,382,163,651,218
ENSG00000157916,6002,7112,7101,4918,15177,7276,7248,11185,2732,3440,3608,3673,2250,2991,2886,5747,2235,6320,3313
ENSG00000157911,984,905,1199,857,2736,1208,870,1482,546,558,420,609,265,476,404,796,361,903,337
ENSG00000149527,1016,301,355,360,573,141,564,292,195,242,276,303,92,319,40,931,58,283,82
ENSG00000157881,1208,1432,1213,605,3454,1684,801,2694,500,908,572,766,398,697,548,1506,365,895,604
ENSG00000197921,1,0,0,1,2,0,1,1,0,0,3,3,0,7,0,4,2,4,0
ENSG00000157873,14805,12645,17600,11212,31811,10901,13279,18896,7822,4670,6582,10669,3275,5501,4241,10572,5077,17172,5013
ENSG00000157870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142606,3,8,5,1,1,4,5,5,1,1,2,2,1,4,1,5,0,5,0
ENSG00000215912,1078,401,686,589,1010,508,343,334,238,163,139,122,76,148,112,358,101,561,88
ENSG00000169717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142611,15,6,4,0,13,4,8,4,12,0,6,5,1,14,0,12,1,2,1
ENSG00000130762,2,0,0,2,2,4,33,27,33,11,5,10,21,2,1,10,4,39,7
ENSG00000162591,4382,14949,1434,9171,15739,11494,29163,41123,8993,5245,6015,14346,8019,7249,4501,11062,9467,19737,3697
ENSG00000158109,2016,1764,1579,748,2950,2177,953,2872,510,962,883,1123,525,1347,672,1675,607,698,567
ENSG00000116213,2218,2722,1957,2648,5259,2252,2005,5042,1389,1472,1246,1508,761,1136,1131,2342,953,2841,836
ENSG00000078900,169,85,208,7,73,48,20,83,117,2,3,23,6,17,19,84,7,23,36
ENSG00000162592,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,2,0
ENSG00000235169,72,5,7,10,166,12,16,17,4,8,3,118,0,255,1,6,42,125,22
ENSG00000130764,2475,2736,2326,1565,6500,3224,2404,5551,1009,1640,1778,1789,928,1087,1237,2562,951,2016,642
ENSG00000116198,3374,2716,2278,1678,6306,2400,3084,4937,1213,1394,1403,1568,756,1163,1091,3166,911,2146,880
ENSG00000169598,867,641,434,339,1189,602,504,1734,307,389,230,474,221,434,352,575,234,691,279
ENSG00000198912,2258,1534,2175,1874,3333,2143,2148,2969,809,1227,1132,1417,479,999,584,1932,972,1783,404
ENSG00000196581,14116,1701,994,2,18312,1834,5,3,0,0,0,3,1,1,0,1,0,0,2
ENSG00000131697,1484,1181,641,1440,9071,2197,3827,4600,1274,1202,1286,1674,927,1034,723,2227,974,1821,10238
ENSG00000069424,8204,4726,3891,6295,7686,4569,18445,30092,13355,9568,10845,17099,5140,6269,6542,9162,11511,15759,5434
ENSG00000116254,41,50,23,139,49,28,67,111,24,19,79,63,17,40,14,34,26,96,20
ENSG00000285629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000158286,39,15,17,15,18,20,17,5,11,3,5,6,3,11,6,132,6,20,2
ENSG00000116237,1934,2031,1882,1380,5001,2594,1304,4238,398,2214,334,674,469,663,1087,2161,374,927,310
ENSG00000173673,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000158292,362,134,11,9,131,426,192,231,67,11,12,19,77,9,24,111,3,15,158
ENSG00000097021,384,259,293,119,831,543,757,1077,446,334,210,534,130,370,399,367,90,1524,361
ENSG00000069812,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
ENSG00000187017,98,10,1,9,22,8,9,5,7,2,6,32,1,205,12,6,9,18,10
ENSG00000215788,1048,606,597,1283,468,326,3483,2357,2609,105,2238,1598,513,1409,342,1027,641,1072,159
ENSG00000171680,21,12,22,36,32,10,48,24,26,2,46,22,6,11,4,56,6,71,18
ENSG00000162408,2573,2398,2493,4880,3320,2918,4712,4795,1807,1239,2835,2349,801,1368,933,1750,1557,2992,1741
ENSG00000173662,3,2,0,308,1,20,4,3,0,3,2,0,1,0,1,0,0,0,0
ENSG00000204859,2598,3764,2512,4889,6385,4658,2209,5173,1083,1237,1584,1653,1037,1203,1174,2708,1200,2560,843
ENSG00000162413,915,929,422,1353,547,1598,584,1476,339,172,521,985,380,772,440,650,529,2901,1446
ENSG00000116273,689,1485,684,638,981,1164,698,1126,870,376,296,562,169,548,327,652,422,1453,1621
ENSG00000041988,706,875,537,556,2400,1052,441,1273,275,531,302,488,243,553,259,702,287,745,207
ENSG00000007923,2693,2774,3333,1898,7116,3190,2837,6725,1348,2085,1643,2166,917,1817,1336,2812,1161,2993,768
ENSG00000171735,863,709,1127,570,1100,664,771,1118,627,358,531,754,260,418,253,542,394,785,1547
ENSG00000049245,2622,1727,2016,5015,2888,1652,5706,3924,3729,1016,5261,4053,1244,1470,1108,1310,3308,3205,4146
ENSG00000049246,455,228,119,378,76,179,123,203,150,67,88,173,59,32,25,312,66,59,96
ENSG00000049247,17,2,4,4,9,1,2,10,1,0,0,1,0,2,0,10,1,5,2
ENSG00000049249,47,14,10,5,5,2,5,12,8,10,3,13,1,8,1,16,8,21,13
ENSG00000116288,3256,3786,3488,2399,9713,4372,3539,7033,2724,3132,2073,2838,1423,2583,2056,3498,1695,5066,1965
ENSG00000116285,107,31,27,61,68,53,73,25,12,25,31,33,39,9,13,32,14,8,9
ENSG00000162426,5,0,0,0,5,10,12,17,4,0,5,0,0,0,0,10,1,1,0
ENSG00000142599,8731,7666,7137,10218,9533,6193,16598,18751,6417,4134,13137,11145,2734,5616,3875,6585,7786,34868,8879
ENSG00000074800,17271,20266,18122,12546,52959,45929,24101,54897,17054,22506,15270,18332,9107,22168,14243,15962,11613,34212,15805
ENSG00000131686,32,39,4,10,320,143,4,5,1,1,8,0,8,8,47,27,4,0,0
ENSG00000197241,141,130,10,28,1654,559,6,71,14,15,22,15,18,11,72,66,6,0,4
ENSG00000142583,3569,11971,249,1579,17349,21844,3389,10419,2298,2405,5779,4636,2271,2641,1639,8022,1251,3067,1442
ENSG00000180758,87,136,34,78,407,217,91,162,182,153,152,70,24,102,81,124,27,106,26
ENSG00000049239,2317,4014,1833,2925,3685,3336,3877,6180,2156,2271,2558,1908,805,1115,1381,4151,1245,2992,1055
ENSG00000171621,99,84,45,103,422,152,519,960,458,983,202,198,146,51,214,796,98,66,185
ENSG00000171612,956,664,578,1663,1613,827,1320,1133,1359,487,1156,1565,351,472,317,443,924,1605,2116
ENSG00000188807,1590,1419,1933,1851,2811,1524,1861,2557,1034,812,870,1043,442,737,526,903,707,1842,1685
ENSG00000171608,20789,31769,3371,15110,43053,27018,21433,59143,12829,13852,14856,17859,7024,9141,9899,26852,9949,15538,3324
ENSG00000171603,16964,18399,17491,11034,36520,19799,12191,15991,4324,5474,4731,5494,3222,3975,3790,9985,3067,4991,1833
ENSG00000178585,1989,2243,1698,2006,3935,1787,2099,2843,2001,1179,1011,1910,662,1254,889,1131,998,1602,1128
ENSG00000162441,1321,1405,1500,1045,3000,1631,1146,3181,672,1279,730,770,441,594,728,1490,590,986,407
ENSG00000173614,471,531,401,179,1104,443,287,1005,95,425,229,192,178,142,304,429,166,317,97
ENSG00000162444,11,8,1,5,11,4,17,9,6,4,27,15,6,3,5,14,6,6,1
ENSG00000130939,3600,3722,3499,2438,7248,3536,3499,5758,1962,1595,2284,2398,907,1765,1309,2600,1466,3572,1845
ENSG00000054523,959,490,430,449,778,567,3657,5339,1072,593,1568,1633,577,500,959,1084,929,554,887
ENSG00000142657,3549,3624,4743,3824,12584,5300,6213,13566,5930,5234,3698,6621,2369,5028,3747,4019,3310,5005,2034
ENSG00000251503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000175279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241563,12,7,7,15,3,2,12,17,4,5,5,3,3,3,6,13,8,15,8
ENSG00000160049,2458,2567,3036,1470,5959,2546,2179,6412,1077,1562,1208,1494,932,1283,1322,1981,956,2136,797
ENSG00000142655,695,732,841,490,1723,931,621,1372,349,409,421,543,209,457,344,693,244,625,190
ENSG00000130940,1468,1378,1147,1254,2496,824,3216,957,2366,563,2316,1026,305,681,185,1022,631,2336,2202
ENSG00000175262,563,413,67,176,1154,336,1,4,0,0,0,0,2,1,0,0,2,16,6
ENSG00000120948,5986,6180,6864,6599,11051,6990,7616,10351,5899,3450,5166,4661,1629,2196,2519,3367,3966,6688,5655
ENSG00000009724,5,1,2,33,4,1,43,7,11,1,17,21,2,6,3,0,8,33,10
ENSG00000116649,1495,1265,1931,1039,4329,1622,2263,4664,1356,1432,799,1455,535,1394,1070,1501,823,3640,1028
ENSG00000171824,5474,5672,4859,6877,11780,7623,7586,9795,4131,3487,6186,4994,2032,3862,2521,5405,4048,9458,4323
ENSG00000198793,6517,7084,7207,6079,13737,6868,5874,12224,3123,3975,4066,4462,2014,2843,2558,6919,2886,5548,2505
ENSG00000171819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000120942,1258,1365,1557,1503,2172,1429,1158,2899,629,749,1078,939,392,609,616,1316,688,1019,446
ENSG00000204624,102,92,19,179,336,133,15,157,43,11,18,15,18,7,60,25,17,72,161
ENSG00000116661,43,15,14,22,14,5,15,23,15,2,17,9,2,20,1,20,3,5,6
ENSG00000132879,1572,1527,574,1960,402,1659,1258,3048,1599,390,1135,1156,746,781,510,1099,839,3052,406
ENSG00000116663,287,231,190,649,175,183,288,889,546,302,229,628,128,396,186,450,233,469,110
ENSG00000116670,1136,1658,973,2607,3417,2132,2572,2930,2276,1121,1417,2038,816,1273,901,1648,1305,2557,1681
ENSG00000162490,111,79,38,43,57,60,17,172,49,36,29,25,28,23,74,45,14,42,5
ENSG00000177674,1072,593,751,411,1555,410,901,3081,1004,728,461,1257,489,731,715,815,526,842,199
ENSG00000215910,0,1,0,1,1,2,1,0,0,0,0,2,0,0,0,7,1,0,0
ENSG00000177000,3811,3081,4632,2705,5091,2729,3598,4719,1414,1276,2989,1984,823,1558,1141,2339,1818,3793,1492
ENSG00000011021,2912,2996,3295,3246,6313,3135,3636,4544,1723,1365,2890,2136,771,1403,954,2291,1594,3127,1481
ENSG00000175206,11,5,5,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000120937,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000116685,2431,2551,2914,1124,5934,2837,1469,4830,598,1486,700,1114,773,1130,1235,2630,585,1377,249
ENSG00000083444,636,325,185,238,965,443,1061,1639,399,469,480,614,449,817,272,745,378,514,229
ENSG00000116688,4433,4356,4719,5245,9814,4759,8366,9746,3659,2908,6033,6261,1928,3566,2003,4564,4297,5447,4063
ENSG00000116691,2101,1981,1441,2051,6209,1967,2229,3471,1514,961,1482,1885,707,1614,970,1846,1180,2938,903
ENSG00000120949,17,13,11,1,2,8,61,216,12,8,12,7,25,23,32,74,23,25,3
ENSG00000028137,4484,3212,1993,796,7720,4070,3447,11206,640,2431,1749,3459,1722,2307,1751,4223,1849,902,278
ENSG00000048707,7221,6639,6868,5290,10848,4166,7948,12317,2505,2652,3334,3564,1512,2665,1950,5544,2180,3781,2238
ENSG00000162496,3174,1119,3808,5832,6657,2572,4382,2150,1320,560,2691,2145,334,1360,291,277,2027,2460,1349
ENSG00000204518,126,21,6,233,253,72,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000157330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000239810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000179172,4,14,2,5,52,8,5,12,5,10,6,3,0,8,2,9,2,7,4
ENSG00000120952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000179412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000182330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000204478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162494,5,15,0,23,46,2,1,6,8,6,3,2,5,1,20,14,1,50,0
ENSG00000162493,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000116731,18724,10272,11273,30695,12569,8836,33010,7283,18965,3261,25086,12341,3598,5973,1799,4954,10305,11445,7641
ENSG00000189337,242,114,403,747,279,289,29,42,28,18,9,4,9,5,3,4,0,17,22
ENSG00000171729,212,32,404,66,234,10,19,11,18,3,5,2,6,2,5,14,0,3,2
ENSG00000142621,313,21,367,431,48,1,20,184,54,2,13,31,30,9,13,1,29,4,87
ENSG00000142634,8901,5648,10801,4332,10596,5000,9756,13217,4917,2517,4127,5558,2175,3728,2927,4413,4309,5780,5855
ENSG00000162438,35,56,29,26,40,17,81,16,11,0,42,32,7,13,15,12,19,36,41
ENSG00000142615,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000215704,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ENSG00000132906,880,1261,1488,661,2402,1218,1260,1574,516,429,955,1101,571,588,338,917,607,859,498
ENSG00000116138,1217,1618,1779,823,1980,1401,901,2238,453,717,522,634,286,388,554,1034,395,723,205
ENSG00000116771,36,57,19,13,22,32,7,18,4,5,7,23,5,27,7,59,9,44,3
ENSG00000197312,4929,4502,6641,2259,4142,3063,2434,7595,785,1695,3564,1669,631,1585,1453,1993,1335,2161,1367
ENSG00000215695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116786,7711,7476,8101,11981,17084,6466,14156,10795,7986,2929,11066,12358,3199,6136,2693,5701,7384,10339,10803
ENSG00000162461,902,838,1177,846,986,707,1860,736,702,409,1542,674,243,400,194,379,544,550,334
ENSG00000162460,0,3,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162458,0,1,2,0,5,1,3,1,3,1,2,0,0,0,0,3,0,1,4
ENSG00000233954,268,271,275,318,537,284,78,276,238,211,130,257,120,245,128,152,91,619,200
ENSG00000065526,16184,15015,16517,11137,18535,9185,15341,16004,5571,4181,8319,6520,2286,5595,3063,6615,5395,9095,7948
ENSG00000116809,3012,3014,3082,3905,7946,3901,5803,4940,3958,1368,5741,4716,1177,2387,991,2333,2799,5059,3764
ENSG00000183888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000173641,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17
ENSG00000186510,4,2,11,34,15,28,8,6,0,1,5,1,0,0,0,1,0,18,59
ENSG00000184908,0,3,0,0,0,3,3,0,1,0,13,0,0,2,0,0,1,1,0
ENSG00000185519,0,4,5,0,1,0,1,6,0,0,0,0,0,0,0,0,1,0,1
ENSG00000142627,174,86,803,5,1059,192,57,518,14,10,5,16,35,150,41,4,81,53,11
ENSG00000142632,969,391,725,645,1581,592,584,987,330,266,172,306,176,404,192,352,210,543,117
ENSG00000132881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000037637,2138,2037,1856,1525,4855,2069,1828,2823,691,1076,1197,1183,478,920,748,1669,695,1531,451
ENSG00000055070,6617,6649,9088,8381,17363,7739,9070,12305,9676,4832,9518,10619,3198,5312,3216,6194,7048,11475,6278
ENSG00000187144,1,1,3,14,6,4,26,5,6,4,9,2,0,1,1,2,6,4,6
ENSG00000157191,3682,4050,5915,1553,10607,4755,1747,5971,1164,1540,1203,1701,766,1413,1218,2922,908,2024,472
ENSG00000219481,6371,6398,5971,2457,25355,7106,6589,4926,1281,2351,1446,2391,2229,1223,2531,3933,1338,2227,594
ENSG00000058453,1919,1035,1152,1555,4794,1449,5583,5967,2527,1656,3086,2828,1559,2215,848,3526,1624,5346,1647
ENSG00000117122,0,0,2,6,4,2,98,393,46,8,19,147,51,120,15,24,227,29,25
ENSG00000159363,1486,1375,634,1042,4290,1116,10282,13222,4604,4072,4267,4057,2231,2947,2280,5883,2627,6227,4362
ENSG00000288636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000117118,1493,1672,1656,1562,3676,1731,1710,3442,1499,1517,1616,1694,645,1426,926,1845,975,2221,922
ENSG00000117115,28,31,3,16,34,220,6,741,42,2,22,24,18,28,13,18,30,56,4
ENSG00000142623,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000142619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000159339,68,26,208,103,82,12,51,29,84,10,15,26,12,56,4,39,23,139,12
ENSG00000276747,0,1,0,0,0,1,0,0,1,0,1,4,0,0,0,0,0,18,0
ENSG00000179051,14410,18515,18778,14859,41930,19152,25281,38033,15886,11048,13308,14704,3941,5982,6285,10069,9824,19184,18708
ENSG00000074964,19,15,10,0,3,5,5,17,4,4,1,11,3,13,0,20,8,7,4
ENSG00000117148,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ENSG00000117154,0,0,0,115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000179023,1,611,0,12,251,1521,12,30,16,5,19,11,2,1,4,36,7,1,1
ENSG00000009709,0,628,0,0,1555,54,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000179002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000159423,293,599,227,257,1051,491,604,1179,221,209,216,277,147,216,248,359,188,468,315
ENSG00000169991,724,599,153,879,306,389,2853,1326,2022,312,1519,1626,353,906,347,559,798,2304,653
ENSG00000127481,14937,20494,18460,8540,20184,11186,15976,26657,5173,4955,8285,9837,3094,7336,3288,9095,6086,11015,5818
ENSG00000127463,3329,3404,3653,2107,5668,3770,2473,7582,1442,2017,1705,1897,1036,1586,1488,3064,1346,2044,683
ENSG00000053372,975,1223,1312,472,3234,1475,736,3639,546,1076,406,722,340,815,1003,962,371,1608,703
ENSG00000162482,47,63,81,69,40,41,105,88,41,27,71,35,15,24,17,20,30,70,27
ENSG00000053371,1323,978,1270,532,3587,1592,1518,3287,1042,1397,652,1026,621,966,721,1254,588,1115,295
ENSG00000040487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000077549,7842,10174,8308,3895,19256,9529,6855,17067,5313,6713,2585,6001,2560,5305,3782,9175,2690,5371,2072
ENSG00000173436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000158747,31,6,4,9,82,6,22,5,31,2,12,13,3,8,1,7,8,3,3
ENSG00000270136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000158748,4,1,2,2,0,0,0,0,0,0,0,4,0,3,2,3,0,0,0
ENSG00000162542,1375,1919,1575,1556,5089,1818,2705,2571,842,1097,898,705,497,535,537,2209,404,1731,551
ENSG00000178828,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000169914,3377,4625,2482,4805,12542,4161,3672,5642,1188,1779,2602,1836,902,1205,1284,2532,1723,2959,1209
ENSG00000188784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188257,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000127472,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,7,1,2,0
ENSG00000117215,2,4,2,1,4,3,6,33,4,1,1,4,7,1,3,44,5,42,4
