Gene	SJHBBBM4X52	SJHBBBM4JQZ	SJHBBBM5SGJ	SJHBBBM5TXY	SJHBBBM2GV5	SJHBBBM39BT	SJHBBBM67H6	SJHBBBM2BBR	SJHBBBN9RBJ	SJHBBBM4PX3	SJHBBBN9RDM	SJHBBBN9R9H	SJHBBBM588V	SJHBBBN9RFN	SJHBBBM55F5	SJHBBBM5GW9	SJHBBBM5PY5	SJHBBBM52XR	SJHBBBM5YWS
CTB-1048E9.7	3	0	0	2	7	0	1	1	2	1	0	0	0	1	0	0	0	0	0
CTB-105L4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-105N12.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-107G13.1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-108O6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-109A12.1	1	2	2	2	6	1	1	3	0	0	1	0	0	0	0	1	1	6	1
CTB-10G5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-111F10.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-111H14.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6
CTB-113D17.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-113I20.1	2	0	0	2	1	0	0	5	0	0	4	1	1	0	0	1	0	0	0
CTB-113I20.2	40	35	30	16	86	67	15	95	28	48	12	16	18	12	24	58	15	40	13
CTB-113P19.1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0
CTB-113P19.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-113P19.4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0
CTB-113P19.5	61	68	65	32	39	43	41	148	26	44	18	16	15	4	17	20	16	13	4
CTB-1144G6.5	1	0	0	0	2	1	0	1	0	0	0	0	1	0	2	0	0	0	0
CTB-1144G6.6	0	1	0	0	1	0	3	4	1	0	1	3	1	0	0	1	0	1	0
CTB-114C7.4	9	7	3	0	2	0	0	2	0	3	0	0	0	0	1	2	0	0	0
CTB-118N6.2	38	20	44	13	85	26	2	19	8	13	3	0	3	8	5	1	2	7	0
CTB-118P15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-118P15.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-119C2.1	88	70	76	51	73	72	44	94	21	24	45	19	8	14	25	113	26	15	13
CTB-11I22.1	0	3	1	1	12	5	4	8	6	2	4	2	1	5	4	2	0	6	1
CTB-11I22.2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-120L21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-127C13.1	0	3	2	1	2	2	0	0	1	0	0	0	0	0	0	0	0	1	2
CTB-127M13.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-129O4.1	79	103	79	29	433	119	30	166	58	93	40	43	17	22	32	63	24	68	12
CTB-129P6.11	24	33	48	18	73	45	8	62	7	20	8	13	3	1	0	20	6	15	3
CTB-129P6.4	2	2	2	2	3	4	5	6	1	0	3	3	2	4	2	2	2	5	0
CTB-129P6.7	2	0	2	21	0	0	16	4	13	0	11	6	3	3	3	0	9	8	10
CTB-12A17.2	9	27	3	26	69	21	17	33	5	4	3	34	5	13	4	43	1	7	3
CTB-12A17.3	12	18	4	8	17	7	6	23	1	4	3	7	6	3	1	7	6	1	2
CTB-12O2.1	5	2	2	6	15	1	2	24	0	2	5	3	3	4	0	4	2	5	0
CTB-131B5.2	1	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	1	3	1
CTB-131B5.5	16	13	13	44	8	14	16	9	8	1	6	18	1	5	1	3	3	17	6
CTB-131K11.1	55	45	72	45	47	35	47	156	46	99	85	58	21	56	72	84	56	38	13
CTB-133G6.1	1906	3858	1588	1922	6831	4935	1976	2436	738	958	1616	1235	662	883	952	2420	538	1100	160
CTB-133G6.2	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CTB-133P21.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-134F13.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-134H23.2	4	7	29	4	8	4	2	4	9	0	24	5	0	5	3	13	0	0	1
CTB-134H23.3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-138E5.1	1	1	0	0	0	2	0	4	0	1	0	1	0	2	1	2	1	1	0
CTB-139P11.2	0	1	1	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	2
CTB-13F3.1	41	26	33	47	30	13	30	26	12	5	29	13	8	8	6	16	19	44	21
CTB-13L3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-140J7.2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
CTB-147C13.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-147C22.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CTB-147C22.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-147C22.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-147C22.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-147N14.4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CTB-147N14.6	35	51	45	21	85	37	34	49	8	15	6	16	3	38	15	32	10	21	5
CTB-147N14.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-14A14.1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-14A14.2	9	1	1	0	15	0	1	0	0	0	0	0	0	1	0	0	0	1	0
CTB-151G24.2	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
CTB-152G17.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-152G17.5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
CTB-152G17.6	93	52	41	40	28	21	50	62	11	16	6	6	10	6	4	10	6	35	8
CTB-158D10.3	9	6	58	153	51	222	40	7	5	2	25	0	10	0	6	21	3	98	1
CTB-158E9.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CTB-158E9.2	0	2	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0
CTB-159G17.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-160O22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-161C1.1	0	3	0	0	1	1	0	0	2	1	1	1	0	0	0	0	0	0	2
CTB-161J7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-161J7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-161M19.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-161M19.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-161M19.4	10	11	5	2	15	8	3	13	4	13	4	9	7	3	1	7	4	10	0
CTB-162E12.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-162J7.1	0	0	0	0	0	0	3	0	2	0	0	0	0	3	0	0	1	0	0
CTB-164L20.1	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-164N12.1	0	3	0	10	4	2	217	735	12	22	187	115	85	17	131	105	123	6	8
CTB-167B5.1	1	3	1	1	0	0	5	4	2	0	1	1	0	0	0	0	1	5	5
CTB-167G5.3	1	5	1	8	1	3	2	7	2	0	1	0	0	2	0	4	1	2	0
CTB-167G5.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-167G5.7	4	2	1	3	0	0	3	5	0	0	1	0	0	1	0	0	0	1	0
CTB-16J4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-171A8.1	9	11	0	20	17	9	2	3	0	0	3	1	0	0	1	3	0	2	0
CTB-174D11.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-174D11.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-174D11.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-174O21.2	0	0	1	2	0	0	3	4	1	0	3	2	0	1	1	2	1	2	0
CTB-175E5.7	43	64	16	25	56	41	96	106	46	21	42	47	14	17	25	65	21	26	2
CTB-176F20.3	1	3	4	1	17	6	0	4	0	0	0	0	0	0	0	2	0	1	0
CTB-178M22.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-178M22.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
CTB-179I1.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-179I1.2	1	73	1	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-179I1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-179K24.3	34	34	30	25	41	22	20	71	11	14	13	11	9	7	19	23	9	14	5
CTB-17P3.4	0	1	0	2	0	0	0	2	2	0	0	0	0	3	0	1	0	9	0
CTB-180A7.3	8	3	8	0	6	6	6	3	2	0	2	2	0	3	1	3	1	0	0
CTB-180A7.6	57	31	31	71	43	24	56	36	40	19	61	33	19	27	19	17	38	97	69
CTB-180A7.8	1	0	4	2	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1
CTB-180C19.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-181F24.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-181H17.1	0	5	8	0	0	1	4	13	3	1	0	0	0	0	0	0	0	0	0
CTB-184G21.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-186G2.1	2	1	4	0	0	0	4	4	1	0	0	1	0	0	0	0	1	2	0
CTB-186G2.4	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1
CTB-186H2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-186H2.3	6	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
CTB-187L3.1	1	0	0	2	0	1	0	1	1	0	0	2	0	0	0	0	0	0	1
CTB-187M2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-187M2.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CTB-189B5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-191D16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CTB-191K22.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-191K22.6	19	9	18	7	99	13	10	37	8	21	7	9	10	5	12	24	10	20	2
CTB-193M12.1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
CTB-193M12.3	25	6	35	44	8	6	80	98	35	6	20	57	10	64	10	1	16	24	20
CTB-193M12.5	319	306	583	233	728	434	909	2271	331	159	465	1414	182	442	404	259	571	268	151
CTB-1H10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-1I21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-1I21.2	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0
CTB-20D2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-22K14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-22K21.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-23I7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-23I7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-23I7.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-25B13.12	301	404	418	102	751	354	147	730	38	258	47	62	70	85	113	221	45	138	13
CTB-25B13.5	79	74	67	137	61	58	122	107	83	42	91	79	15	44	20	49	41	128	160
CTB-25B13.9	66	50	13	27	110	48	0	3	0	0	2	0	2	0	0	1	0	17	1
CTB-25J19.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-26E19.1	115	157	114	21	744	244	51	319	62	234	58	27	52	63	69	214	15	9	2
CTB-2L9.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-30L5.1	3	3	0	0	3	3	0	0	0	0	0	0	0	0	0	1	0	3	0
CTB-31C7.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-31N19.2	1	0	0	1	0	0	0	3	0	1	1	0	0	2	0	0	1	0	0
CTB-31N19.3	39	29	60	102	53	30	91	40	38	13	29	38	13	27	17	20	28	165	45
CTB-31N19.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-31N19.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-31O20.2	305	288	201	233	757	372	315	416	259	122	353	388	89	364	125	240	278	1147	297
CTB-31O20.3	2	5	0	3	16	4	3	3	2	6	2	0	0	1	0	3	1	2	1
CTB-31O20.4	15	11	6	5	17	7	12	8	2	5	8	0	0	0	1	1	3	1	2
CTB-31O20.6	3	0	4	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0
CTB-31O20.8	1	1	0	0	1	0	1	2	2	2	0	1	1	2	0	4	1	1	0
CTB-31O20.9	3	4	0	1	5	1	0	5	3	2	0	0	1	1	3	3	0	3	2
CTB-32H22.1	3	0	0	14	12	4	171	663	16	31	165	155	86	18	115	115	122	12	6
CTB-32O4.2	1	3	2	3	7	1	3	8	2	3	2	7	2	3	3	3	5	23	3
CTB-32O4.3	4	0	0	6	3	0	0	4	1	0	0	1	0	1	0	0	0	8	3
CTB-32O4.4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CTB-32P11.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-33G10.1	26	67	20	51	251	63	35	48	70	20	37	53	21	47	18	27	22	107	61
CTB-33G10.11	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-33G10.6	0	3	0	2	19	2	0	11	0	0	0	0	1	0	2	0	1	4	1
CTB-33O18.1	1	0	0	4	0	0	79	64	1	4	57	23	22	2	21	14	15	0	1
CTB-33O18.2	0	0	0	0	0	0	81	24	1	1	20	5	6	0	1	0	8	0	1
CTB-33O18.3	0	0	0	2	1	0	53	28	1	1	22	2	5	1	2	1	9	0	1
CTB-35F21.1	1	2	2	3	4	1	11	6	1	0	0	0	1	0	0	10	0	38	12
CTB-35F21.2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
CTB-35F21.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-35F21.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-35F21.5	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
CTB-36H16.2	337	369	424	134	259	313	64	810	38	234	32	24	42	25	140	175	24	41	21
CTB-37A13.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-39G8.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-39G8.3	6	4	1	1	7	0	3	6	1	2	0	0	1	1	0	1	0	0	0
CTB-3M24.1	0	0	0	0	0	0	253	0	208	1	43	114	27	3	3	18	351	120	295
CTB-3M24.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-3M24.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-40H15.4	9	9	3	15	5	1	21	9	26	7	22	7	3	6	14	3	13	5	9
CTB-41I6.1	115	110	51	76	276	168	24	250	18	52	30	39	17	21	52	116	13	36	9
CTB-41I6.2	105	149	60	73	279	195	38	313	30	76	43	32	33	42	46	141	17	36	17
CTB-43E15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-43E15.2	2	0	4	12	10	0	1	4	0	0	0	0	0	2	0	0	1	0	0
CTB-43I4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-43P18.1	42	34	88	59	17	28	27	57	40	124	38	14	11	4	14	14	18	20	10
CTB-46B19.2	0	9	2	7	0	10	6	6	0	0	5	6	0	2	0	0	0	0	0
CTB-47B11.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-47B11.3	3	4	5	3	2	1	3	4	0	1	0	0	2	1	0	2	0	1	1
CTB-47B8.1	1	2	0	1	3	2	0	2	0	0	0	1	0	0	0	1	1	1	0
CTB-47B8.4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-47B8.5	0	2	1	2	12	4	2	4	0	0	0	1	1	0	2	1	1	1	4
CTB-49A3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-49A3.2	28	24	4	74	69	136	1	7	1	15	8	0	1	1	8	7	0	3	0
CTB-49A3.4	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-49A3.5	3	0	1	14	0	3	1	0	0	0	1	0	0	0	0	0	0	1	0
CTB-4E7.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CTB-50E14.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-50E14.5	62	75	55	172	185	105	57	111	60	43	81	73	28	70	23	93	34	55	59
CTB-50L17.10	2732	3350	3276	1540	8382	3774	2175	6640	1324	1827	976	1670	1032	1634	1501	2710	828	1932	523
CTB-50L17.14	0	2	1	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0
CTB-50L17.16	5	5	17	6	9	7	17	9	23	5	17	8	1	18	5	5	6	9	12
CTB-50L17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-50L17.5	3	1	0	1	0	4	0	6	1	1	0	0	3	0	2	1	1	2	0
CTB-50L17.7	248	112	155	364	254	332	1036	787	239	197	725	195	141	177	196	128	218	141	60
CTB-50L17.8	869	424	514	1174	1051	1069	3038	2746	861	689	2330	691	496	547	608	418	784	593	256
CTB-50L17.9	76	43	24	187	79	64	300	133	69	50	216	88	40	40	39	30	94	88	22
CTB-51A17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-51E13.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-51J22.1	1	0	0	0	2	1	0	0	0	0	3	2	0	0	0	1	0	0	0
CTB-52I2.3	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	1	0	0	0
CTB-52I2.4	1435	1115	1730	776	3441	2727	149	1571	217	912	179	213	254	456	593	795	248	266	30
CTB-52I2.7	4	5	3	1	2	4	5	7	1	1	1	1	2	0	3	3	1	1	0
CTB-54I1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-54O9.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-55O6.10	3	6	7	0	8	3	2	11	11	2	3	12	1	4	5	3	3	3	2
CTB-55O6.12	970	1005	803	324	1592	1053	935	1350	331	420	328	369	164	317	432	707	288	846	141
CTB-55O6.13	12	52	32	41	41	16	19	17	8	16	7	18	5	18	4	14	8	19	12
CTB-55O6.4	1	1	2	1	8	4	1	4	6	10	1	1	6	1	3	6	1	12	1
CTB-55P19.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-56J15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-57H20.1	563	733	91	1615	1713	1158	914	357	521	588	592	527	246	224	364	546	220	188	170
CTB-58E17.1	147	136	108	70	346	196	36	389	89	97	53	66	49	21	108	242	28	69	35
CTB-58E17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-58E17.3	7	15	22	3	26	15	7	13	6	6	3	6	2	1	3	12	4	22	9
CTB-58E17.5	5	2	1	7	0	1	2	7	1	1	3	4	4	0	0	2	1	7	0
CTB-58E17.9	2	2	0	2	4	3	3	5	3	1	1	2	3	1	0	1	4	1	3
CTB-59C6.3	1	0	0	0	5	1	4	0	1	0	0	0	2	1	0	2	0	0	0
CTB-5E10.3	0	2	1	0	0	1	0	5	0	1	0	1	0	0	3	0	0	0	0
CTB-60B18.10	2	1	0	0	0	4	0	8	1	0	0	0	2	1	0	7	1	0	0
CTB-60B18.12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-60B18.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-60B18.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-60B18.18	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-60B18.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-60B18.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-60B18.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-60E11.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-60E11.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-60E11.9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
CTB-61M7.1	3	3	3	2	1	0	7	0	3	1	0	0	1	1	0	0	1	0	0
CTB-61M7.2	5	1	2	0	0	2	2	0	2	1	1	1	0	1	0	2	0	0	2
CTB-63M22.1	69	107	30	120	570	140	89	137	123	70	66	167	49	164	58	82	76	486	191
CTB-66B24.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-70D19.1	0	0	0	1	0	0	3	0	1	0	1	1	2	3	2	1	0	1	0
CTB-70G10.1	0	10	0	19	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0
CTB-73N10.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-75G16.1	1	1	0	0	3	1	2	0	5	0	0	0	0	1	0	0	0	2	0
CTB-75G16.3	28	25	17	8	78	23	7	57	27	18	12	12	9	16	15	13	13	12	4
CTB-76P12.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-77H17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-78F1.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CTB-78F1.2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
CTB-78H18.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-78O21.1	13	11	28	1	14	20	10	19	3	7	1	2	3	2	0	0	0	20	3
CTB-79E8.2	3	0	4	0	4	1	0	2	1	0	0	0	0	0	0	3	0	3	0
CTB-79E8.3	16	23	13	27	100	36	22	46	17	20	29	28	9	25	18	26	23	42	22
CTB-79E8.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-7E3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-83J4.1	7	2	5	9	6	4	7	2	3	1	2	11	0	3	4	3	0	10	3
CTB-83J4.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-85P21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-88F18.2	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-88F18.3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CTB-88F18.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-89H12.4	2097	1669	1896	2350	1294	1016	5129	2000	2688	1168	4411	1744	724	844	670	623	1695	1909	4162
CTB-91J4.1	23	0	0	0	6	0	1	2	0	0	0	0	0	0	0	2	2	1	1
CTB-91J4.3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
CTB-92J24.2	143	159	95	77	247	289	77	233	13	25	38	21	15	7	30	65	28	10	8
CTB-92J24.3	5	0	0	1	26	2	0	1	0	0	0	0	0	1	0	0	0	0	0
CTB-95B16.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-95D12.1	1	3	1	5	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0
CTB-96E2.10	10	7	1	0	1	3	3	18	6	2	2	2	2	0	2	15	3	3	2
CTB-96E2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-96E2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-96E2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTB-96E2.7	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0
CTB-99A3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CTBP1	9987	7767	9472	5876	18674	8514	11360	21723	6367	6058	5143	7059	3250	3936	5049	10225	4091	12166	2788
CTBP1-AS	4	3	0	1	0	1	0	10	20	0	5	7	0	3	4	3	3	2	1
CTBP1-AS2	1575	1156	1401	1181	3034	1694	1924	4549	677	1152	647	1448	800	561	1086	2255	677	1291	531
CTBP2	3802	6374	3873	3518	10945	5441	4616	20201	4324	4289	2352	4513	2114	2940	4407	4284	1764	3125	1390
CTBP2P1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CTBP2P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTBP2P3	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	4	0	0	0
CTBP2P4	2	6	2	2	22	9	14	22	0	4	2	5	10	12	4	27	3	7	1
CTBP2P5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CTBP2P6	3	1	0	0	2	2	7	1	1	0	0	0	1	1	0	1	0	1	0
CTBP2P7	13	6	10	17	34	10	19	26	5	5	16	8	3	7	9	8	8	12	0
CTBP2P8	2	9	4	5	10	7	4	17	1	9	1	2	7	2	6	38	1	5	3
CTBS	1142	1149	873	1660	909	913	900	1765	885	621	882	1035	376	484	642	676	698	768	653
CTC-1337H24.3	5	4	6	0	4	5	3	4	5	3	2	4	1	3	2	4	4	2	4
CTC-1337H24.4	4	2	8	0	21	4	4	5	3	1	0	3	0	4	1	2	1	7	3
CTC-137K3.1	6	5	18	1	11	2	1	7	3	3	7	3	1	0	1	0	0	4	1
CTC-203F4.2	153	195	151	68	295	114	51	338	166	184	68	86	36	69	64	126	57	99	13
