,length
ENSG00000233954,2180
ENSG00000065526,14336
ENSG00000116809,4240
ENSG00000183888,3039
ENSG00000173641,3193
ENSG00000186510,3476
ENSG00000184908,2939
ENSG00000185519,1720
ENSG00000142627,4141
ENSG00000142632,3788
ENSG00000132881,1574
ENSG00000037637,9009
ENSG00000055070,4742
ENSG00000187144,4506
ENSG00000157191,5510
ENSG00000219481,12212
ENSG00000058453,8875
ENSG00000117122,2712
ENSG00000159363,5253
ENSG00000288636,312
ENSG00000117118,2324
ENSG00000117115,6000
ENSG00000142623,4903
ENSG00000142619,3189
ENSG00000159339,2971
ENSG00000276747,2396
ENSG00000179051,4079
ENSG00000074964,7954
ENSG00000117148,1844
ENSG00000117154,3033
ENSG00000179023,5045
ENSG00000009709,6473
ENSG00000179002,2542
ENSG00000159423,3632
ENSG00000169991,6179
ENSG00000127481,24661
ENSG00000127463,9602
ENSG00000053372,2556
ENSG00000162482,1215
ENSG00000053371,1779
ENSG00000040487,2686
ENSG00000077549,19094
ENSG00000173436,5480
ENSG00000158747,3448
ENSG00000270136,1276
ENSG00000158748,3800
ENSG00000162542,4027
ENSG00000178828,1255
ENSG00000169914,6885
ENSG00000188784,785
ENSG00000188257,1632
ENSG00000127472,3342
ENSG00000117215,2681
ENSG00000158786,6438
ENSG00000187980,3855
ENSG00000162543,5562
ENSG00000158816,6377
ENSG00000162545,2605
ENSG00000090432,2428
ENSG00000183114,2448
ENSG00000158825,820
ENSG00000158828,4833
ENSG00000244038,2721
ENSG00000117245,4470
ENSG00000189410,4487
ENSG00000127483,9815
ENSG00000075151,9606
ENSG00000117298,7308
ENSG00000142794,6812
ENSG00000162551,2980
ENSG00000076864,5755
ENSG00000090686,9497
ENSG00000187942,4494
ENSG00000142798,18118
ENSG00000219073,1540
ENSG00000142789,1226
ENSG00000070831,16278
ENSG00000162552,4650
ENSG00000184677,9169
ENSG00000070886,5434
ENSG00000173372,1220
ENSG00000159189,1332
ENSG00000173369,1492
ENSG00000133216,12516
ENSG00000215906,1641
ENSG00000227868,660
ENSG00000004487,5440
ENSG00000169641,9658
ENSG00000179546,2835
ENSG00000125944,8704
ENSG00000125945,4786
ENSG00000204219,3675
ENSG00000088280,4988
ENSG00000007968,5462
ENSG00000117318,1496
ENSG00000011007,5391
ENSG00000057757,2173
ENSG00000011009,2021
ENSG00000117308,3955
ENSG00000117305,5628
ENSG00000179163,2043
ENSG00000188822,5265
ENSG00000189266,2763
ENSG00000188529,11860
ENSG00000142661,9214
ENSG00000142677,2817
ENSG00000185436,4940
ENSG00000158055,3905
ENSG00000001460,8511
ENSG00000001461,9396
ENSG00000117602,7138
ENSG00000184454,4146
ENSG00000133226,7922
ENSG00000169504,4467
ENSG00000020633,4922
ENSG00000117614,3773
ENSG00000117616,6730
ENSG00000187010,3313
ENSG00000183726,3010
ENSG00000188672,2433
ENSG00000204178,3979
ENSG00000157978,5371
ENSG00000117643,9702
ENSG00000162430,4421
ENSG00000255054,792
ENSG00000117640,5797
ENSG00000127423,2408
ENSG00000182749,3244
ENSG00000117632,6247
ENSG00000158006,3795
ENSG00000158008,4542
ENSG00000158014,3483
ENSG00000158022,2576
ENSG00000175087,4560
ENSG00000197245,2799
ENSG00000282872,1203
ENSG00000236782,2073
ENSG00000142684,732
ENSG00000142675,3960
ENSG00000188782,2030
ENSG00000130695,5145
ENSG00000142669,876
ENSG00000158062,4704
ENSG00000169442,934
ENSG00000176092,6895
ENSG00000176083,2379
ENSG00000131914,3975
ENSG00000117682,5608
ENSG00000198830,3189
ENSG00000117713,15939
ENSG00000060642,5872
ENSG00000204160,5460
ENSG00000175793,1308
ENSG00000142751,4966
ENSG00000198746,2226
ENSG00000090273,2848
ENSG00000131910,1165
ENSG00000175707,1855
ENSG00000253368,1979
ENSG00000158246,2382
ENSG00000090020,6195
ENSG00000142784,5911
ENSG00000186501,4476
ENSG00000142765,5584
ENSG00000142733,5746
ENSG00000142748,2169
ENSG00000174950,1994
ENSG00000181773,2137
ENSG00000158195,5681
ENSG00000126705,8297
ENSG00000000938,3382
ENSG00000126709,936
ENSG00000009780,4046
ENSG00000117758,3801
ENSG00000117751,2815
ENSG00000130775,4621
ENSG00000117748,1981
ENSG00000130768,2663
ENSG00000158156,5180
ENSG00000158161,6424
ENSG00000169403,4208
ENSG00000126698,2892
ENSG00000130770,2225
ENSG00000130766,3462
ENSG00000130772,2017
ENSG00000204138,7317
ENSG00000180198,3888
ENSG00000180098,4311
ENSG00000120656,2337
ENSG00000188060,2301
ENSG00000162419,6413
ENSG00000198492,3729
ENSG00000116329,9345
ENSG00000159023,19993
ENSG00000253304,2606
ENSG00000116350,8806
ENSG00000116353,4138
ENSG00000060656,6682
ENSG00000162510,4604
ENSG00000162511,3228
ENSG00000162512,7065
ENSG00000134644,6621
ENSG00000084628,3320
ENSG00000060688,3887
ENSG00000121766,1921
ENSG00000121769,1398
ENSG00000168528,3452
ENSG00000142910,5281
ENSG00000121764,2558
ENSG00000162517,2223
ENSG00000084636,9253
ENSG00000121753,7756
ENSG00000134668,7085
ENSG00000184007,6708
ENSG00000288678,66
ENSG00000121774,3544
ENSG00000121775,2787
ENSG00000025800,7457
ENSG00000084652,5114
ENSG00000160050,3873
ENSG00000160051,2463
ENSG00000222046,1869
ENSG00000160055,3571
ENSG00000084623,9756
ENSG00000183615,947
ENSG00000182866,3339
ENSG00000116478,3966
ENSG00000175130,1546
ENSG00000162526,1849
ENSG00000225828,2845
ENSG00000160058,6741
ENSG00000254553,3447
ENSG00000273274,12831
ENSG00000160062,7077
ENSG00000176261,3531
ENSG00000162521,9470
ENSG00000162520,3722
ENSG00000162522,6020
ENSG00000134684,9124
ENSG00000116497,9190
ENSG00000160097,3199
ENSG00000121905,1964
ENSG00000121900,1417
ENSG00000116514,2734
ENSG00000004455,9625
ENSG00000142920,9581
ENSG00000116525,3976
ENSG00000160094,3384
ENSG00000184389,1023
ENSG00000134686,4975
ENSG00000121903,5308
ENSG00000121904,18157
ENSG00000176256,2561
ENSG00000142698,3339
ENSG00000163866,10337
ENSG00000189280,1355
ENSG00000189433,1444
ENSG00000188910,2362
ENSG00000187513,1716
ENSG00000116544,4042
ENSG00000284773,3163
ENSG00000271741,3099
ENSG00000243749,922
ENSG00000163867,9568
ENSG00000197056,5205
ENSG00000116560,7419
ENSG00000146463,7905
ENSG00000142687,9619
ENSG00000020129,4917
ENSG00000116819,2272
ENSG00000126067,4528
ENSG00000142686,3049
ENSG00000092853,9591
ENSG00000134698,7423
ENSG00000092847,13890
ENSG00000126070,21153
ENSG00000092850,1959
ENSG00000116863,1651
ENSG00000171812,4669
ENSG00000054116,3527
ENSG00000116871,5271
ENSG00000054118,4720
ENSG00000214193,8142
ENSG00000142694,1211
ENSG00000196182,5618
ENSG00000181817,1506
ENSG00000116885,2788
ENSG00000116898,2863
ENSG00000119535,8429
ENSG00000163873,10497
ENSG00000163874,3091
ENSG00000163875,6061
ENSG00000163877,5718
ENSG00000163879,4456
ENSG00000134697,5747
ENSG00000169218,3058
ENSG00000116922,4434
ENSG00000134690,2406
ENSG00000183317,8152
ENSG00000185090,2973
ENSG00000196449,1848
ENSG00000197982,2231
ENSG00000188786,7989
ENSG00000204084,8930
ENSG00000183431,3894
ENSG00000183386,2004
ENSG00000183520,3381
ENSG00000185668,2965
ENSG00000116954,5116
ENSG00000214114,2773
ENSG00000274944,3251
ENSG00000131233,2439
ENSG00000158315,2826
ENSG00000174574,2688
ENSG00000168653,548
ENSG00000127603,42738
ENSG00000183682,5636
ENSG00000090621,10274
ENSG00000163909,4077
ENSG00000116981,1107
ENSG00000116983,4758
ENSG00000084072,11124
ENSG00000116985,4826
ENSG00000198754,1826
ENSG00000043514,6533
ENSG00000116990,5063
ENSG00000168389,4007
ENSG00000131236,3814
ENSG00000131238,3372
ENSG00000117000,6232
ENSG00000188800,846
ENSG00000084073,4022
ENSG00000049089,4215
ENSG00000084070,3601
ENSG00000187801,2566
ENSG00000187815,3173
ENSG00000164002,3092
ENSG00000117010,3101
ENSG00000117016,7259
ENSG00000066136,5990
ENSG00000117013,4408
ENSG00000179862,1310
ENSG00000171793,11164
ENSG00000171790,4310
ENSG00000010803,4447
ENSG00000204060,2398
ENSG00000127129,1649
ENSG00000127124,14625
ENSG00000284895,81
ENSG00000044012,604
ENSG00000197273,597
ENSG00000198815,6896
ENSG00000177181,10638
ENSG00000066185,2181
ENSG00000127125,3412
ENSG00000186409,25206
ENSG00000171960,5095
ENSG00000065978,3395
ENSG00000164007,3602
ENSG00000117385,6766
ENSG00000164008,5286
ENSG00000283580,1582
ENSG00000274386,4373
ENSG00000177868,1353
ENSG00000164010,5720
ENSG00000164011,2036
ENSG00000117394,6614
ENSG00000186973,843
ENSG00000117395,3561
ENSG00000243710,5583
ENSG00000179178,2138
ENSG00000253313,1522
ENSG00000066056,6705
ENSG00000117400,3937
ENSG00000117399,2012
ENSG00000066322,2506
ENSG00000159479,2704
ENSG00000198198,26354
ENSG00000178922,2754
ENSG00000142949,10712
ENSG00000284989,4037
ENSG00000066135,5184
ENSG00000126091,19448
ENSG00000117407,2657
ENSG00000117408,5072
ENSG00000132768,2930
ENSG00000117410,3239
ENSG00000117411,5472
ENSG00000159214,3563
ENSG00000196517,5249
ENSG00000171872,3160
ENSG00000283039,3159
ENSG00000178028,5599
ENSG00000117419,2785
ENSG00000187147,9687
ENSG00000126106,3561
ENSG00000198520,3290
ENSG00000142945,3646
ENSG00000142959,2512
ENSG00000173846,3327
ENSG00000188396,1355
ENSG00000222009,3520
ENSG00000117425,5334
ENSG00000070785,3411
ENSG00000126107,5072
ENSG00000126088,4029
ENSG00000162415,6095
ENSG00000186603,1785
ENSG00000132781,5811
ENSG00000288208,2768
ENSG00000132773,2358
ENSG00000070759,3319
ENSG00000280670,2757
ENSG00000132763,5049
ENSG00000117450,1682
ENSG00000117448,3121
ENSG00000132780,8304
ENSG00000159588,3323
ENSG00000159592,7433
ENSG00000159596,1465
ENSG00000197429,3708
ENSG00000086015,8062
ENSG00000117461,7397
ENSG00000278139,1553
ENSG00000117472,2370
ENSG00000250719,405
ENSG00000085998,6189
ENSG00000171357,1849
ENSG00000085999,4078
ENSG00000132128,8614
ENSG00000173660,1341
ENSG00000117481,8468
ENSG00000117480,2724
ENSG00000197587,5068
ENSG00000282881,1633
ENSG00000162456,2933
ENSG00000079277,8071
ENSG00000142961,5909
ENSG00000123472,5677
ENSG00000186118,1464
ENSG00000159658,16312
ENSG00000142973,3466
ENSG00000187048,3890
ENSG00000186377,2447
ENSG00000186160,2252
ENSG00000162365,3853
ENSG00000162366,1430
ENSG00000162367,5700
ENSG00000123473,7291
ENSG00000162368,3844
ENSG00000186790,1768
ENSG00000186564,2648
ENSG00000269113,7524
ENSG00000117834,4535
ENSG00000132122,5938
ENSG00000186094,7504
ENSG00000162373,2142
ENSG00000162374,8368
ENSG00000142700,3168
ENSG00000185104,7549
ENSG00000123080,3018
ENSG00000204006,1118
ENSG00000123091,3112
ENSG00000085831,9491
ENSG00000085832,7378
ENSG00000117859,10273
ENSG00000078618,6773
ENSG00000169213,12780
ENSG00000117862,2864
ENSG00000285839,1986
ENSG00000198841,1708
ENSG00000134717,5948
ENSG00000157077,7980
ENSG00000154222,7507
ENSG00000085840,3121
ENSG00000134748,5617
ENSG00000134744,16199
ENSG00000116157,1692
ENSG00000182183,2684
ENSG00000162377,4148
ENSG00000162378,8206
ENSG00000203995,4694
ENSG00000121310,11572
ENSG00000116171,8253
ENSG00000174348,4899
ENSG00000162383,5413
ENSG00000157184,10089
ENSG00000162384,4504
ENSG00000162385,1363
ENSG00000157193,19668
ENSG00000143006,2440
ENSG00000174332,3113
ENSG00000058804,4720
ENSG00000058799,2036
ENSG00000211452,2282
ENSG00000081870,3006
ENSG00000116212,2164
ENSG00000203985,2376
ENSG00000116209,9149
ENSG00000116205,12168
ENSG00000256407,3952
ENSG00000157211,3229
ENSG00000215883,8926
ENSG00000116221,2549
ENSG00000157216,6954
ENSG00000162390,9770
ENSG00000162391,2006
ENSG00000184313,9088
ENSG00000271723,7090
ENSG00000243725,3488
ENSG00000162396,2356
ENSG00000006555,6111
ENSG00000162398,1777
ENSG00000116133,6214
ENSG00000143001,1256
ENSG00000162399,9761
ENSG00000169174,5711
ENSG00000162402,12023
ENSG00000284686,2655
ENSG00000162407,5272
ENSG00000162409,9362
ENSG00000187889,4648
ENSG00000157131,2367
ENSG00000021852,2732
ENSG00000173406,7551
ENSG00000162600,3718
ENSG00000184292,1820
ENSG00000162601,13115
ENSG00000177606,3624
ENSG00000172456,12174
ENSG00000134709,6614
ENSG00000134716,2973
ENSG00000162598,4422
ENSG00000162599,55886
ENSG00000162604,5516
ENSG00000132849,11919
ENSG00000240563,3831
ENSG00000132854,6814
ENSG00000162607,3869
ENSG00000116641,24890
ENSG00000132855,3371
ENSG00000125703,3116
ENSG00000187140,2562
ENSG00000088035,5487
ENSG00000142856,5459
ENSG00000203965,5704
ENSG00000079739,4077
ENSG00000185483,6720
ENSG00000177414,1838
ENSG00000158966,7022
ENSG00000162437,6070
ENSG00000162434,12620
ENSG00000162433,7578
ENSG00000116675,6958
ENSG00000213625,5237
ENSG00000116678,11370
ENSG00000184588,8930
ENSG00000118473,13320
ENSG00000152760,3360
ENSG00000172410,715
ENSG00000152763,6673
ENSG00000198160,8273
ENSG00000116704,6193
ENSG00000203963,5022
ENSG00000162594,3213
ENSG00000081985,6067
ENSG00000142864,7676
ENSG00000116717,1925
ENSG00000172380,4715
ENSG00000162595,2049
ENSG00000116729,4459
ENSG00000116745,2605
ENSG00000024526,5904
ENSG00000033122,30043
ENSG00000066557,2843
ENSG00000116754,8473
ENSG00000118454,6184
ENSG00000116761,2414
ENSG00000050628,9653
ENSG00000132485,4985
ENSG00000172260,13208
ENSG00000162620,8759
ENSG00000254685,4180
ENSG00000259030,9896
ENSG00000116783,4733
ENSG00000162621,4358
ENSG00000178965,8827
ENSG00000116791,4085
ENSG00000162623,4616
ENSG00000162624,3977
ENSG00000137968,6299
ENSG00000117054,13774
ENSG00000137955,5920
ENSG00000057468,3270
ENSG00000154007,1080
ENSG00000184005,7212
ENSG00000117069,6059
ENSG00000142892,5514
ENSG00000154027,6948
ENSG00000036549,9008
ENSG00000077254,6918
ENSG00000180488,10128
ENSG00000162614,4436
ENSG00000162613,7559
ENSG00000162616,3702
ENSG00000137960,3904
ENSG00000122420,5764
ENSG00000137959,11610
ENSG00000137965,2038
ENSG00000162618,5798
ENSG00000117114,22649
ENSG00000137941,10547
ENSG00000142875,6730
ENSG00000203943,3405
ENSG00000137976,1524
ENSG00000117133,2290
ENSG00000174021,1128
ENSG00000122432,4280
ENSG00000117151,6934
ENSG00000117155,8563
ENSG00000171517,3536
ENSG00000153898,3442
ENSG00000162643,3923
ENSG00000055732,6624
ENSG00000097096,6405
ENSG00000162642,3420
ENSG00000142867,4346
ENSG00000153904,4587
ENSG00000142871,3698
ENSG00000117174,6203
ENSG00000171502,9568
ENSG00000122417,10898
ENSG00000137975,4406
ENSG00000016490,3310
ENSG00000016602,3447
ENSG00000097033,6881
ENSG00000183291,2201
ENSG00000153936,7426
ENSG00000267561,2013
ENSG00000143013,5421
ENSG00000065243,6897
ENSG00000137947,2524
ENSG00000137944,2196
ENSG00000213516,5087
ENSG00000117226,4284
ENSG00000117228,6103
ENSG00000162645,7223
ENSG00000213512,2432
ENSG00000162654,6141
ENSG00000154451,8143
ENSG00000183347,4685
ENSG00000197147,8267
ENSG00000288629,63
ENSG00000171488,11724
ENSG00000271949,654
ENSG00000171492,4852
ENSG00000162664,10988
ENSG00000143032,2044
ENSG00000122482,7604
ENSG00000162669,5814
ENSG00000097046,3599
ENSG00000069702,8577
ENSG00000137948,4635
ENSG00000172031,2250
ENSG00000230667,909
ENSG00000189195,8342
ENSG00000203910,1086
ENSG00000174842,2910
ENSG00000122484,17048
ENSG00000162676,5069
ENSG00000067208,8276
ENSG00000154511,3091
ENSG00000143033,5907
ENSG00000117500,9211
ENSG00000122483,5633
ENSG00000117505,10925
ENSG00000137942,5811
ENSG00000137936,6919
ENSG00000067334,7518
ENSG00000023909,5426
ENSG00000198691,8547
ENSG00000137962,18370
ENSG00000117528,7655
ENSG00000117525,2886
ENSG00000143036,2869
ENSG00000117519,2783
ENSG00000172339,9641
ENSG00000152078,7385
ENSG00000271092,1961
ENSG00000122481,1927
ENSG00000117569,14681
ENSG00000188641,7131
ENSG00000162627,2067
ENSG00000117598,4699
ENSG00000117600,5540
ENSG00000099260,8074
ENSG00000156869,8624
ENSG00000162688,8157
ENSG00000117620,18235
ENSG00000283761,5765
ENSG00000156875,2945
ENSG00000156876,3972
ENSG00000122435,4134
ENSG00000122477,1992
ENSG00000137992,11616
ENSG00000137996,3028
ENSG00000079335,6510
ENSG00000181656,3492
ENSG00000162692,6049
ENSG00000162694,4015
ENSG00000162695,8600
ENSG00000117543,2970
ENSG00000170989,5223
ENSG00000118733,4393
ENSG00000060718,9091
ENSG00000185946,6867
ENSG00000240038,7491
ENSG00000243480,1898
ENSG00000237763,2505
ENSG00000174876,2334
ENSG00000187733,1632
ENSG00000198890,4340
ENSG00000162631,10496
ENSG00000134215,7306
ENSG00000085491,6726
ENSG00000196427,2586
ENSG00000186086,2586
ENSG00000162636,9350
ENSG00000162639,2426
ENSG00000134186,6955
ENSG00000143107,3090
ENSG00000116266,5892
ENSG00000162641,5039
ENSG00000121957,19578
ENSG00000121940,10933
ENSG00000085433,4423
ENSG00000197780,1401
ENSG00000215717,3613
ENSG00000179902,1227
ENSG00000116299,9194
ENSG00000031698,3849
ENSG00000143126,12830
ENSG00000134222,2855
ENSG00000221986,1759
ENSG00000134243,9127
ENSG00000143106,5734
ENSG00000143028,4042
ENSG00000162650,5232
ENSG00000174151,5690
ENSG00000181754,5141
ENSG00000156097,5057
ENSG00000065135,9044
ENSG00000134183,1718
ENSG00000116337,9301
ENSG00000168765,5727
ENSG00000213366,9116
ENSG00000134184,2512
ENSG00000134201,6067
ENSG00000134202,4750
ENSG00000198758,3477
ENSG00000184371,5238
ENSG00000168710,5035
ENSG00000143093,7344
ENSG00000156150,1976
ENSG00000186150,1505
ENSG00000197106,6636
ENSG00000116396,26071
ENSG00000162775,4670
ENSG00000168679,3164
ENSG00000134248,2388
ENSG00000143125,1393
ENSG00000143105,1959
ENSG00000177301,18723
ENSG00000177272,2476
ENSG00000143119,2152
ENSG00000121931,3502
ENSG00000156171,3295
ENSG00000134255,8418
ENSG00000162777,6677
ENSG00000064886,3295
ENSG00000134216,4643
ENSG00000173947,3949
ENSG00000085465,2520
ENSG00000116455,2685
ENSG00000116459,3138
ENSG00000143110,2768
ENSG00000121933,2428
ENSG00000282608,2560
ENSG00000116473,5532
ENSG00000197852,6393
ENSG00000064703,8778
ENSG00000171385,8027
ENSG00000143079,7371
ENSG00000134245,12374
ENSG00000007341,8108
ENSG00000116489,3495
ENSG00000155363,6509
ENSG00000155366,4007
ENSG00000271810,1078
ENSG00000155367,2874
ENSG00000184599,1282
ENSG00000155380,6347
ENSG00000198799,12467
ENSG00000081026,8414
ENSG00000116793,7170
ENSG00000081019,6819
ENSG00000134242,4497
ENSG00000188761,9095
ENSG00000134262,5847
ENSG00000118655,3868
ENSG00000163349,9148
ENSG00000116774,2821
ENSG00000134207,5065
ENSG00000197323,9604
ENSG00000116752,1289
ENSG00000175984,7413
ENSG00000116748,3082
ENSG00000213281,4326
ENSG00000009307,5778
ENSG00000052723,5894
ENSG00000198765,4278
ENSG00000134200,528
ENSG00000134198,3413
ENSG00000134259,4110
ENSG00000173218,9045
ENSG00000118729,2688
ENSG00000177551,7541
ENSG00000163393,5277
ENSG00000173212,3256
ENSG00000163399,7277
ENSG00000116815,1784
ENSG00000143061,7400
ENSG00000116824,1635
ENSG00000134247,6488
ENSG00000134256,3828
ENSG00000116830,10158
ENSG00000134253,4368
ENSG00000134258,3027
ENSG00000198162,9667
ENSG00000183508,5654
ENSG00000196505,10487
ENSG00000065183,10276
ENSG00000155761,9828
ENSG00000092607,4344
ENSG00000116874,3830
ENSG00000116882,1877
ENSG00000203859,2277
ENSG00000203857,2443
ENSG00000143067,5579
ENSG00000092621,9187
ENSG00000134240,2565
ENSG00000134193,3414
ENSG00000134249,2983
ENSG00000134250,19930
ENSG00000265808,9039
ENSG00000286106,1111
ENSG00000273136,6782
ENSG00000263353,660
ENSG00000198019,4234
ENSG00000188610,3033
ENSG00000171943,7335
ENSG00000273213,3959
ENSG00000263513,2297
ENSG00000271567,785
ENSG00000266338,5306
ENSG00000279782,785
ENSG00000196369,7230
ENSG00000215784,2423
ENSG00000256374,495
ENSG00000162825,18995
ENSG00000117262,5561
ENSG00000174827,2480
ENSG00000117281,3971
ENSG00000265491,11059
ENSG00000186141,4690
ENSG00000186364,1657
ENSG00000131788,4806
ENSG00000198483,3363
ENSG00000143127,6242
ENSG00000131779,1718
ENSG00000265241,5544
ENSG00000280778,1095
ENSG00000271601,3991
ENSG00000272031,3671
ENSG00000121851,1811
ENSG00000265972,3604
ENSG00000168509,2418
ENSG00000271425,14362
ENSG00000264343,2957
ENSG00000270339,660
ENSG00000268043,7272
ENSG00000131791,5460
ENSG00000131781,5984
ENSG00000131778,4301
ENSG00000116128,6331
ENSG00000288626,207
ENSG00000162836,11993
ENSG00000265107,3288
ENSG00000121634,1392
ENSG00000188092,5214
ENSG00000263956,5947
ENSG00000236334,755
ENSG00000270629,11985
ENSG00000286019,1108
ENSG00000177144,1206
ENSG00000178104,27623
ENSG00000269713,9046
ENSG00000286219,5343
ENSG00000286185,14425
ENSG00000271383,13754
ENSG00000263464,600
ENSG00000150337,2155
ENSG00000203814,3196
ENSG00000183598,469
ENSG00000270882,1876
ENSG00000203811,1656
ENSG00000203812,549
ENSG00000272196,564
ENSG00000203852,1656
ENSG00000270276,1929
ENSG00000184678,2194
ENSG00000184260,494
ENSG00000184270,497
ENSG00000178096,1461
ENSG00000159164,4786
ENSG00000143368,1704
ENSG00000014914,4572
ENSG00000264522,12227
ENSG00000136631,6637
ENSG00000023902,6629
ENSG00000143401,3605
ENSG00000118298,3296
ENSG00000117362,3473
ENSG00000118292,1270
ENSG00000159208,2849
ENSG00000266472,1500
ENSG00000117360,5408
ENSG00000163125,8738
ENSG00000143374,4077
ENSG00000143369,3360
ENSG00000143382,6432
ENSG00000143384,6222
ENSG00000143420,4619
ENSG00000143457,3334
ENSG00000143452,2412
ENSG00000163131,6888
ENSG00000143387,8447
ENSG00000143437,6448
ENSG00000283324,1229
ENSG00000143379,7093
ENSG00000143418,4643
ENSG00000143412,1594
ENSG00000143409,3792
ENSG00000143363,3156
ENSG00000163141,3809
ENSG00000143443,2320
ENSG00000197622,4184
ENSG00000213190,2483
ENSG00000143458,9189
ENSG00000143434,5809
ENSG00000163154,1158
ENSG00000163156,3264
ENSG00000163155,2508
